App Name,Size,Age Rating,Languages,Price,InApp Purchase,Average Rating,Rating Count,Privacy Data,App Link,Number of Versions,Last Version Date,First Version Date
"V on Pharma Care : Health Care
            12+",35.4 MB,"12+

              Infrequent/Mild Alcohol, Tobacco, or Drug Use or References
Infrequent/Mild Medical/Treatment Information",English,Free,N/A,N/A,N/A,"Financial Info,Location,Contact Info,Identifiers,Diagnostics,Other Data",https://apps.apple.com/us/app/v-on-pharma-care-health-care/id1550764464,3,"Jun 15, 2021","Feb 8, 2021"
"V-KNOW
            12+",29.7 MB,"12+

              Infrequent/Mild Medical/Treatment Information",English,Free,N/A,4.3,4 Ratings,N/A,https://apps.apple.com/us/app/v-know/id674555050,12,"Dec 22, 2021","Jul 23, 2013"
"V-KNOW HD
            12+",57.1 MB,"12+

              Infrequent/Mild Medical/Treatment Information",English,Free,N/A,5.0,1 Rating,N/A,https://apps.apple.com/us/app/v-know-hd/id686296150,10,"Dec 22, 2021","Aug 13, 2013"
"V-Live
            4+",62.7 MB,4+,English,Free,N/A,N/A,N/A,N/A,https://apps.apple.com/us/app/v-live/id1505821453,3,"May 5, 2020","Apr 22, 2020"
"V-VST
            17+",13.6 MB,"17+

              Frequent/Intense Medical/Treatment Information","English, Spanish",Free,N/A,N/A,N/A,N/A,https://apps.apple.com/us/app/v-vst/id1125752093,3,"Nov 7, 2016","Oct 31, 2016"
"V.K.Erika
            12+",37.5 MB,"12+

              Infrequent/Mild Medical/Treatment Information",English,Free,N/A,N/A,N/A,N/A,https://apps.apple.com/us/app/v-k-erika/id1086730296,2,"Mar 27, 2018","Feb 27, 2016"
"V2MD Provider
            12+",35.6 MB,"12+

              Infrequent/Mild Medical/Treatment Information",English,Free,N/A,5.0,2 Ratings,"Contact Info,User Content,Identifiers,Usage Data,Diagnostics",https://apps.apple.com/us/app/v2md-provider/id1191485942,25,"May 22, 2022","Apr 17, 2019"
"VA 2019
            17+",34.4 MB,"17+

              Unrestricted Web Access
Infrequent/Mild Medical/Treatment Information","English, French, German, Italian, Russian, Simplified Chinese, Spanish",Free,N/A,N/A,N/A,N/A,https://apps.apple.com/us/app/va-2019/id1479663015,2,"Oct 2, 2019","Sep 12, 2019"
"VA Calendar
            4+",877.6 KB,4+,"English, Dutch",$1.99,N/A,N/A,N/A,N/A,https://apps.apple.com/us/app/va-calendar/id566304398,5,"Jul 21, 2020","Apr 3, 2013"
"VA Loma Linda Residents
            17+",67.9 MB,"17+

              Frequent/Intense Medical/Treatment Information",English,Free,N/A,3.0,1 Rating,N/A,https://apps.apple.com/us/app/va-loma-linda-residents/id1517068471,1,N/A,N/A
