App Name,Size,Age Rating,Languages,Price,InApp Purchase,Average Rating,Rating Count,Privacy Data,App Link,Number of Versions,Last Version Date,First Version Date
"W CLINIC
            4+",3.8 MB,4+,"English, Japanese",Free,N/A,N/A,N/A,Contact Info,https://apps.apple.com/us/app/w-clinic/id897326283,23,"Jan 31, 2022","Jul 18, 2014"
"W&H Med Steri
            4+",72.4 MB,4+,English,Free,N/A,N/A,N/A,"User Content,Identifiers",https://apps.apple.com/us/app/w-h-med-steri/id1511480849,2,"May 4, 2021","May 22, 2020"
"W-APP
            12+",53.3 MB,"12+

              Infrequent/Mild Medical/Treatment Information","English, Dutch, French, German, Italian, Portuguese",Free,N/A,N/A,N/A,"Health & Fitness,Contact Info,Sensitive Info,Contact Info",https://apps.apple.com/us/app/w-app/id1261325939,25,"May 3, 2021","Jun 1, 2019"
"W.Dental
            4+",46.7 MB,4+,English,Free,N/A,4.0,1 Rating,N/A,https://apps.apple.com/us/app/w-dental/id1481889842,7,"Feb 20, 2021","Nov 7, 2019"
"W4HC Radio & W4CS Radio
            4+",11.2 MB,4+,"English, Spanish",Free,N/A,4.0,3 Ratings,"Location,Contact Info,User Content,Identifiers,Usage Data,Diagnostics",https://apps.apple.com/us/app/w4hc-radio-w4cs-radio/id1092233971,12,"May 26, 2022","Mar 16, 2016"
"W8 Converter
            4+",9.2 MB,4+,"English, Burmese, French, German, Japanese, Portuguese, Russian, Simplified Chinese, Spanish",Free,N/A,4.3,22 Ratings,N/A,https://apps.apple.com/us/app/w8-converter/id1438944041,4,"Mar 23, 2019","Oct 17, 2018"
"Waaier Kwaliteit en Veiligheid
            17+",24.2 MB,"17+

              Unrestricted Web Access
Infrequent/Mild Cartoon or Fantasy Violence
Frequent/Intense Medical/Treatment Information
Infrequent/Mild Sexual Content and Nudity
Frequent/Intense Mature/Suggestive Themes",English,Free,N/A,N/A,N/A,Usage Data,https://apps.apple.com/us/app/waaier-kwaliteit-en-veiligheid/id1316023571,8,"Feb 17, 2021","Dec 28, 2017"
"WAC 2019
            4+",73.2 MB,4+,"English, French",Free,N/A,N/A,N/A,N/A,https://apps.apple.com/us/app/wac-2019/id1486146467,2,"Dec 4, 2019","Nov 26, 2019"
"WACEMS Protocols
            17+",8.9 MB,"17+

              Frequent/Intense Medical/Treatment Information",English,Free,N/A,3.7,3 Ratings,N/A,https://apps.apple.com/us/app/wacems-protocols/id938344328,12,"Feb 22, 2020","Nov 13, 2014"
"WACHS Works
            17+",72.3 MB,"17+

              Frequent/Intense Medical/Treatment Information",English,Free,N/A,N/A,N/A,N/A,https://apps.apple.com/us/app/wachs-works/id1521957074,5,"Nov 19, 2021","Jul 16, 2020"
