App Name,Size,Age Rating,Languages,Price,InApp Purchase,Average Rating,Rating Count,Privacy Data,App Link,Number of Versions,Last Version Date,First Version Date
"X CLINIC
            4+",1.8 MB,4+,Japanese,Free,N/A,N/A,N/A,Contact Info,https://apps.apple.com/us/app/x-clinic/id1566827421,1,N/A,N/A
"X Twin AR
            4+",40.9 MB,4+,English,Free,N/A,N/A,N/A,N/A,https://apps.apple.com/us/app/x-twin-ar/id1572852264,3,"Aug 27, 2021","Jun 22, 2021"
"X-Anatomy Basic
            12+",76.4 MB,"12+

              Infrequent/Mild Medical/Treatment Information",English,$3.99,N/A,N/A,N/A,N/A,https://apps.apple.com/us/app/x-anatomy-basic/id1069232444,3,"May 29, 2018","Jan 4, 2016"
"X-Anatomy Pro
            12+",140 MB,"12+

              Infrequent/Mild Medical/Treatment Information",English,$9.99,N/A,4.2,10 Ratings,N/A,https://apps.apple.com/us/app/x-anatomy-pro/id480517945,10,"Mar 1, 2021","Mar 14, 2012"
"XCarePro
            4+",25.4 MB,4+,English,Free,N/A,3.7,3 Ratings,N/A,https://apps.apple.com/us/app/xcarepro/id1517457992,22,"May 3, 2022","Jun 16, 2020"
"X-PERT Diabetes Digital
            17+",74.9 MB,"17+

              Frequent/Intense Medical/Treatment Information
Infrequent/Mild Alcohol, Tobacco, or Drug Use or References",English,Free,N/A,N/A,N/A,"Health & Fitness,Contact Info",https://apps.apple.com/us/app/x-pert-diabetes-digital/id1499990079,9,"Oct 30, 2021","Feb 25, 2020"
"X-Plain
            17+",2.4 MB,"17+

              Frequent/Intense Medical/Treatment Information
Infrequent/Mild Alcohol, Tobacco, or Drug Use or References",English,Free,N/A,5.0,1 Rating,N/A,https://apps.apple.com/us/app/x-plain/id898690322,17,"Sep 13, 2017","Jul 20, 2014"
"X-Ray Differential Diagnosis
            17+",10.6 MB,"17+

              Frequent/Intense Medical/Treatment Information
Infrequent/Mild Alcohol, Tobacco, or Drug Use or References",English,Free,N/A,5.0,2 Ratings,N/A,https://apps.apple.com/us/app/x-ray-differential-diagnosis/id1431803518,2,"Sep 4, 2018","Aug 22, 2018"
"X-Ray Emojis
            4+",10.3 MB,4+,English,$0.99,N/A,5.0,1 Rating,N/A,https://apps.apple.com/us/app/x-ray-emojis/id1209902441,4,"Jul 29, 2020","Mar 1, 2017"
"X-Ray Wow
            12+",51.6 MB,"12+

              Infrequent/Mild Medical/Treatment Information",English,Free,N/A,2.3,3 Ratings,N/A,https://apps.apple.com/us/app/x-ray-wow/id692079859,3,"May 18, 2019","Sep 13, 2013"
"X-Series
            4+",81.5 MB,4+,"English, Japanese, Korean, Russian, Simplified Chinese, Spanish",Free,N/A,N/A,N/A,N/A,https://apps.apple.com/us/app/x-series/id1479789858,10,"Nov 18, 2020","Sep 13, 2019"
"X-SERVE
            12+",161.2 MB,"12+

              Infrequent/Mild Sexual Content and Nudity",English,Free,N/A,N/A,N/A,N/A,https://apps.apple.com/us/app/x-serve/id1576479310,1,N/A,N/A
"X-Shot i (v2)
            12+",3.5 MB,"12+

              Infrequent/Mild Medical/Treatment Information",English,Free,N/A,N/A,N/A,N/A,https://apps.apple.com/us/app/x-shot-i-v2/id1058793421,2,"Feb 24, 2021","Dec 4, 2015"
"X-Trak Pro
            4+",92.1 MB,4+,English,Free,N/A,N/A,N/A,N/A,https://apps.apple.com/us/app/x-trak-pro/id1500015761,2,"Dec 11, 2020","Mar 9, 2020"
"X2U
            4+",106.6 MB,4+,"English, Arabic, Dutch, Finnish, French, German, Greek, Indonesian, Italian, Japanese, Korean, Polish, Portuguese, Spanish, Swedish, Turkish


        more",Free,N/A,N/A,N/A,"Health & Fitness,User Content,Diagnostics",https://apps.apple.com/us/app/x2u/id1458006710,25,"Dec 6, 2021","Jan 7, 2020"
"Xarelto Uso Responsable
            4+",38.2 MB,4+,English,Free,N/A,5.0,1 Rating,N/A,https://apps.apple.com/us/app/xarelto-uso-responsable/id1346704318,4,"Aug 11, 2021","Feb 20, 2018"
"XCare Community Telehealth
            17+",20.5 MB,"17+

              Frequent/Intense Medical/Treatment Information",English,Free,N/A,N/A,N/A,N/A,https://apps.apple.com/us/app/xcare-community-telehealth/id1076306388,1,"Nov 8, 2016","Nov 8, 2016"
"Xcellent Life
            17+",120.4 MB,"17+

              Frequent/Intense Medical/Treatment Information",English,Free,N/A,3.0,4 Ratings,N/A,https://apps.apple.com/us/app/xcellent-life/id1183650820,9,"Dec 17, 2021","Apr 20, 2017"
"XcriptionsLT
            4+",7.8 MB,4+,English,Free,N/A,N/A,N/A,N/A,https://apps.apple.com/us/app/xcriptionslt/id903344157,14,"Apr 2, 2019","Aug 1, 2014"
"XDENT
            4+",35 MB,4+,"English, Italian",Free,N/A,N/A,N/A,N/A,https://apps.apple.com/us/app/xdent/id478616929,6,"Oct 11, 2018","Dec 9, 2011"
"Xealei Wearable
            12+",2.4 MB,"12+

              Infrequent/Mild Medical/Treatment Information",English,Free,N/A,N/A,N/A,N/A,https://apps.apple.com/us/app/xealei-wearable/id1584325591,2,"Nov 2, 2021","Sep 5, 2021"
"XFERALL
            17+",57.4 MB,"17+

              Frequent/Intense Medical/Treatment Information",English,Free,N/A,4.7,10 Ratings,N/A,https://apps.apple.com/us/app/xferall/id1212936760,25,"Apr 11, 2022","Apr 4, 2019"
"XI Congreso de Psicología
            17+",22.6 MB,"17+

              Unrestricted Web Access","English, Dutch, French, German, Italian, Portuguese",Free,N/A,N/A,N/A,N/A,https://apps.apple.com/us/app/xi-congreso-de-psicolog%C3%ADa/id1441830064,2,"Nov 14, 2019","Nov 10, 2018"
"XI REUNIÓN DP-HDD 2020
            17+",94.1 MB,"17+

              Unrestricted Web Access
Frequent/Intense Medical/Treatment Information","English, Dutch, French, German, Italian, Portuguese",Free,N/A,N/A,N/A,N/A,https://apps.apple.com/us/app/xi-reuni%C3%B3n-dp-hdd-2020/id1494707527,1,N/A,N/A
"XI REUNIÓN DP-HDD 2020
            17+",94.1 MB,"17+

              Unrestricted Web Access
Frequent/Intense Medical/Treatment Information","English, Dutch, French, German, Italian, Portuguese",Free,N/A,N/A,N/A,N/A,https://apps.apple.com/us/app/xi-reuni%C3%B3n-dp-hdd-2020/id1494707527,1,N/A,N/A
"XI Simposio SER
            4+",22.9 MB,4+,English,Free,N/A,N/A,N/A,N/A,https://apps.apple.com/us/app/xi-simposio-ser/id1533460906,1,N/A,N/A
"XIAhealth®
            17+",29.9 MB,"17+

              Frequent/Intense Medical/Treatment Information",English,Free,N/A,4.3,4 Ratings,"Identifiers,Usage Data,Other Data,Usage Data,Diagnostics",https://apps.apple.com/us/app/xiahealth/id1564142767,9,"Mar 9, 2022","May 1, 2021"
"Xigma Diary
            12+",33.8 MB,"12+

              Infrequent/Mild Medical/Treatment Information",English,Free,N/A,N/A,N/A,N/A,https://apps.apple.com/us/app/xigma-diary/id1560486562,1,N/A,N/A
"XINFO
            17+",45.9 MB,"17+

              Frequent/Intense Medical/Treatment Information",English,Free,N/A,N/A,N/A,"User Content,Identifiers",https://apps.apple.com/us/app/xinfo/id528285112,22,"Nov 2, 2021","Nov 27, 2012"
"XINFO Clinic Edition
            4+",48.9 MB,4+,English,Free,N/A,N/A,N/A,"User Content,Identifiers",https://apps.apple.com/us/app/xinfo-clinic-edition/id1113665921,3,"May 13, 2022","Jun 24, 2016"
"XINFO CNOP COMUNICAZIONE 3.0
            4+",44 MB,4+,English,Free,N/A,N/A,N/A,N/A,https://apps.apple.com/us/app/xinfo-cnop-comunicazione-3-0/id1253961955,8,"Nov 10, 2018","Jul 6, 2017"
"XINFO OMCEO Avellino
            4+",51 MB,4+,English,Free,N/A,N/A,N/A,"User Content,Identifiers",https://apps.apple.com/us/app/xinfo-omceo-avellino/id1441300990,2,"May 17, 2022","Nov 6, 2018"
"Xkelet
            12+",74 MB,"12+

              Infrequent/Mild Medical/Treatment Information","English, German, Russian, Spanish, Ukrainian",Free,N/A,5.0,2 Ratings,"Identifiers,Contact Info,User Content",https://apps.apple.com/us/app/xkelet/id1438624053,25,"Jun 13, 2022","Feb 1, 2021"
"XLDentist
            17+",68.9 MB,"17+

              Infrequent/Mild Medical/Treatment Information",English,Free,N/A,N/A,N/A,Diagnostics,https://apps.apple.com/us/app/xldentist/id1587974120,1,N/A,N/A
"XLED AR
            4+",242 MB,4+,English,Free,N/A,N/A,N/A,N/A,https://apps.apple.com/us/app/xled-ar/id1491315999,2,"Sep 15, 2020","Jan 28, 2020"
"XLNTBrain Mobile
            12+",4.4 MB,"12+

              Infrequent/Mild Medical/Treatment Information",English,Free,N/A,2.6,10 Ratings,N/A,https://apps.apple.com/us/app/xlntbrain-mobile/id807401179,20,"Aug 11, 2021","May 29, 2014"
"Xlung Assist Ped
            17+",44.9 MB,"17+

              Frequent/Intense Medical/Treatment Information","French, German, Japanese, Portuguese, Russian, Simplified Chinese, Spanish, Traditional Chinese",$4.99,N/A,5.0,1 Rating,N/A,https://apps.apple.com/us/app/xlung-assist-ped/id1398464026,1,"Jun 28, 2018","Jun 28, 2018"
"XLVII Congreso SER 2021
            17+",23 MB,17+,English,Free,N/A,N/A,N/A,N/A,https://apps.apple.com/us/app/xlvii-congreso-ser-2021/id1587675408,1,N/A,N/A
"XMas Fire Brigade Rescue Hero
            4+",525 MB,4+,English,Free,N/A,N/A,N/A,N/A,https://apps.apple.com/us/app/xmas-fire-brigade-rescue-hero/id1492460290,1,N/A,N/A
"Xmas Santa Hd Photo Frames - Fx editor
            4+",9.9 MB,4+,English,Free,N/A,N/A,N/A,N/A,https://apps.apple.com/us/app/xmas-santa-hd-photo-frames-fx-editor/id1166820957,1,"Nov 21, 2016","Nov 21, 2016"
"XMD Mobile
            17+",35.2 MB,"17+

              Frequent/Intense Medical/Treatment Information",English,Free,N/A,N/A,N/A,N/A,https://apps.apple.com/us/app/xmd-mobile/id1062992655,7,"Oct 23, 2020","Dec 5, 2015"
"Xoorb
            12+",39.4 MB,"12+

              Infrequent/Mild Medical/Treatment Information",English,Free,N/A,N/A,N/A,"Contact Info,Diagnostics",https://apps.apple.com/us/app/xoorb/id1562975305,10,"Jun 10, 2022","Apr 16, 2021"
"XPatient Pro
            12+",5.6 MB,"12+

              Infrequent/Mild Medical/Treatment Information","English, Arabic, French, German, Japanese, Russian, Simplified Chinese, Spanish",Free,True,5.0,1 Rating,N/A,https://apps.apple.com/us/app/xpatient-pro/id821105149,3,"Apr 18, 2022","Oct 11, 2020"
"XpediCare Urgent Care
            4+",26.9 MB,4+,English,Free,N/A,3.8,5 Ratings,"Health & Fitness,Identifiers,Sensitive Info,Usage Data",https://apps.apple.com/us/app/xpedicare-urgent-care/id1478686138,11,"Feb 8, 2022","Sep 3, 2019"
"Xpeer Medical CME/CPD/CE app
            12+",31.6 MB,"12+

              Infrequent/Mild Medical/Treatment Information",English,Free,True,5.0,1 Rating,"Contact Info,Purchases",https://apps.apple.com/us/app/xpeer-medical-cme-cpd-ce-app/id1500153261,25,"Jun 17, 2022","Jul 15, 2020"
"Xpert Unit®
            4+",52.8 MB,4+,"English, Dutch, French, German, Italian, Portuguese, Spanish",Free,N/A,N/A,N/A,N/A,https://apps.apple.com/us/app/xpert-unit/id1317324580,4,"Jan 6, 2022","Feb 19, 2019"
"XpertRadon
            4+",72.3 MB,4+,"English, Dutch, French, German, Italian, Japanese, Korean, Portuguese, Simplified Chinese, Spanish, Swedish


        more",Free,N/A,N/A,N/A,N/A,https://apps.apple.com/us/app/xpertradon/id1340284244,8,"Mar 8, 2022","Jan 27, 2018"
"Xplora Dx
            4+",54.9 MB,4+,English,Free,N/A,N/A,N/A,"Location,User Content,Identifiers",https://apps.apple.com/us/app/xplora-dx/id1528799724,5,"Dec 18, 2021","May 29, 2021"
"Xploro
            4+",207.9 MB,4+,English,Free,N/A,5.0,1 Rating,"User Content,Identifiers,Usage Data,Diagnostics",https://apps.apple.com/us/app/xploro/id1496591625,19,"Jun 13, 2022","Jan 28, 2020"
"XQOhm
            4+",54.5 MB,4+,English,Free,N/A,5.0,3 Ratings,N/A,https://apps.apple.com/us/app/xqohm/id1486121327,2,"Jan 31, 2020","Dec 26, 2019"
"Xray Anatomy
            17+",36.7 MB,"17+

              Frequent/Intense Medical/Treatment Information",English,Free,True,4.3,357 Ratings,"Location,Diagnostics,Other Data",https://apps.apple.com/us/app/xray-anatomy/id616765425,20,"May 25, 2021","Apr 29, 2013"
"Xrays4Medics
            17+",34 MB,"17+

              Frequent/Intense Medical/Treatment Information",English,Free,N/A,5.0,1 Rating,N/A,https://apps.apple.com/us/app/xrays4medics/id495125046,6,"Oct 1, 2016","Jan 20, 2012"
"XRHealth Mobile App
            4+",62.7 MB,4+,"English, Hebrew",Free,N/A,5.0,8 Ratings,"User Content,Usage Data",https://apps.apple.com/us/app/xrhealth-mobile-app/id1499504217,18,"Apr 21, 2022","Feb 21, 2020"
"XRI Reports
            17+",2.9 MB,"17+

              Frequent/Intense Medical/Treatment Information",English,Free,N/A,N/A,N/A,N/A,https://apps.apple.com/us/app/xri-reports/id1157773963,2,"Nov 4, 2016","Oct 11, 2016"
"XrySOS Pharmacies - Hospitals
            4+",10 MB,4+,English,Free,N/A,5.0,1 Rating,N/A,https://apps.apple.com/us/app/xrysos-pharmacies-hospitals/id525751345,5,"Mar 27, 2019","May 15, 2012"
"Xstek-Dictate
            17+",2.8 MB,"17+

              Infrequent/Mild Medical/Treatment Information
Unrestricted Web Access",English,Free,N/A,4.0,1 Rating,N/A,https://apps.apple.com/us/app/xstek-dictate/id1074808346,12,"Jun 16, 2022","Jan 25, 2016"
"Xsund
            12+",43.2 MB,"12+

              Infrequent/Mild Medical/Treatment Information",English,Free,N/A,N/A,N/A,N/A,https://apps.apple.com/us/app/xsund/id1457576982,13,"Mar 31, 2022","Apr 16, 2020"
"XtracktMe
            4+",67.9 MB,4+,English,Free,N/A,N/A,N/A,"Health & Fitness,Financial Info,Location,Contact Info,Contacts,Identifiers,Other Data,Diagnostics",https://apps.apple.com/us/app/xtracktme/id1496167014,2,"Nov 10, 2021","Feb 13, 2020"
"Xtratop
            17+",81.8 MB,"17+

              Frequent/Intense Medical/Treatment Information","English, Simplified Chinese",Free,N/A,5.0,1 Rating,N/A,https://apps.apple.com/us/app/xtratop/id1470358632,15,"Jul 21, 2021","Aug 15, 2019"
"Xtremity 3D by PAL
            4+",151.1 MB,4+,English,Free,N/A,N/A,N/A,"Contact Info,Identifiers",https://apps.apple.com/us/app/xtremity-3d-by-pal/id1529123633,6,"Jan 20, 2022","Apr 1, 2021"
"XXII Kongres PTOK
            4+",13.1 MB,4+,English,Free,N/A,N/A,N/A,N/A,https://apps.apple.com/us/app/xxii-kongres-ptok/id1474208840,2,"Aug 28, 2019","Aug 20, 2019"
"XXIX SECPOO
            12+",57.1 MB,"12+

              Infrequent/Mild Medical/Treatment Information",Spanish,Free,N/A,N/A,N/A,N/A,https://apps.apple.com/us/app/xxix-secpoo/id1463029377,1,N/A,N/A
"XXV Curso Cornea Merida 2019
            17+",27 MB,"17+

              Frequent/Intense Mature/Suggestive Themes","English, Dutch, French, German, Italian, Portuguese",Free,N/A,N/A,N/A,N/A,https://apps.apple.com/us/app/xxv-curso-cornea-merida-2019/id1483241546,1,N/A,N/A
"XXX Jornada Santa Casa
            17+",33.7 MB,"17+

              Unrestricted Web Access",English,Free,N/A,N/A,N/A,N/A,https://apps.apple.com/us/app/xxx-jornada-santa-casa/id1095514922,1,"Mar 31, 2016","Mar 31, 2016"
"XY-EBT
            12+",71 MB,"12+

              Infrequent/Mild Medical/Treatment Information
Infrequent/Mild Cartoon or Fantasy Violence","English, Simplified Chinese",Free,N/A,N/A,N/A,N/A,https://apps.apple.com/us/app/xy-ebt/id1131500161,5,"Oct 18, 2019","Jul 26, 2016"
"XY-PDJ-Ⅱ
            12+",106.5 MB,"12+

              Infrequent/Mild Medical/Treatment Information","English, Simplified Chinese",Free,N/A,N/A,N/A,N/A,https://apps.apple.com/us/app/xy-pdj/id1448960280,9,"Mar 25, 2021","Jan 10, 2019"
"XY-SWFK-IV
            17+",80.4 MB,"17+

              Frequent/Intense Medical/Treatment Information","English, Simplified Chinese",Free,N/A,N/A,N/A,N/A,https://apps.apple.com/us/app/xy-swfk-iv/id1473107786,2,"Oct 18, 2019","Jul 30, 2019"
"XY-SWFK-Ⅱ
            12+",80.7 MB,"12+

              Infrequent/Mild Medical/Treatment Information","English, Simplified Chinese",Free,N/A,N/A,N/A,N/A,https://apps.apple.com/us/app/xy-swfk/id1454332488,7,"Oct 18, 2019","Feb 27, 2019"
"XY-TY-III
            12+",82.4 MB,"12+

              Infrequent/Mild Medical/Treatment Information","English, Simplified Chinese",Free,N/A,N/A,N/A,N/A,https://apps.apple.com/us/app/xy-ty-iii/id1507318779,1,N/A,N/A
"XY-TY-Ⅱ
            17+",112.5 MB,"17+

              Frequent/Intense Medical/Treatment Information","English, Simplified Chinese",Free,N/A,N/A,N/A,N/A,https://apps.apple.com/us/app/xy-ty/id1473098404,3,"Oct 18, 2019","Jul 19, 2019"
