App Name,Size,Age Rating,Languages,Price,InApp Purchase,Average Rating,Rating Count,Privacy Data,App Link,Number of Versions,Last Version Date,First Version Date
"Z pilulka
            12+",6.4 MB,"12+

              Infrequent/Mild Medical/Treatment Information",Czech,Free,N/A,N/A,N/A,N/A,https://apps.apple.com/us/app/z-pilulka/id932821239,3,"May 22, 2017","Nov 7, 2014"
"Z-Cataract
            12+",74.6 MB,"12+

              Infrequent/Mild Medical/Treatment Information",English,Free,N/A,N/A,N/A,N/A,https://apps.apple.com/us/app/z-cataract/id1472949668,1,N/A,N/A
"Z-Clinic
            17+",102.9 MB,"17+

              Frequent/Intense Medical/Treatment Information",Russian,Free,N/A,N/A,N/A,"Contact Info,Identifiers,User Content,Usage Data,Diagnostics",https://apps.apple.com/us/app/z-clinic/id1575562279,11,"Jun 17, 2022","Jul 22, 2021"
"Z-Track
            17+",18.3 MB,"17+

              Frequent/Intense Medical/Treatment Information",English,Free,N/A,N/A,N/A,N/A,https://apps.apple.com/us/app/z-track/id971016050,12,"Mar 27, 2022","Mar 7, 2015"
"Z3Pulse
            17+",24.1 MB,"17+

              Frequent/Intense Medical/Treatment Information",English,Free,N/A,N/A,N/A,"Contact Info,Health & Fitness,Diagnostics",https://apps.apple.com/us/app/z3pulse/id1523290709,12,"May 29, 2022","Sep 23, 2020"
"Zaehne24.com
            4+",46.7 MB,4+,German,Free,N/A,N/A,N/A,"Identifiers,Diagnostics",https://apps.apple.com/us/app/zaehne24-com/id1509249037,3,"Nov 25, 2021","Apr 29, 2020"
"Zahnarzt Wymann
            12+",48.9 MB,"12+

              Infrequent/Mild Medical/Treatment Information","English, French, German, Italian",Free,N/A,N/A,N/A,N/A,https://apps.apple.com/us/app/zahnarzt-wymann/id1532880827,1,N/A,N/A
"Zahnarztpraxis Dr. Wolpers
            4+",46.5 MB,4+,German,Free,N/A,N/A,N/A,"Identifiers,Diagnostics",https://apps.apple.com/us/app/zahnarztpraxis-dr-wolpers/id1339551235,4,"May 25, 2021","Jan 30, 2018"
"Zahnarztpraxis Osdorf
            17+",59.3 MB,"17+

              Frequent/Intense Medical/Treatment Information
Unrestricted Web Access",English,Free,N/A,N/A,N/A,"User Content,Usage Data",https://apps.apple.com/us/app/zahnarztpraxis-osdorf/id1561720452,1,N/A,N/A
"Zahnzeitung
            17+",32.7 MB,"17+

              Unrestricted Web Access
Frequent/Intense Medical/Treatment Information","English, French, German",Free,N/A,N/A,N/A,N/A,https://apps.apple.com/us/app/zahnzeitung/id1497279981,1,N/A,N/A
"Zaibak Dental
            12+",33.5 MB,"12+

              Infrequent/Mild Medical/Treatment Information","English, Spanish",Free,N/A,5.0,1 Rating,N/A,https://apps.apple.com/us/app/zaibak-dental/id556595247,6,"Jun 13, 2017","Sep 6, 2012"
"Zakkaartjes
            4+",54.4 MB,4+,English,Free,N/A,N/A,N/A,"Identifiers,Usage Data",https://apps.apple.com/us/app/zakkaartjes/id1151379825,12,"Apr 30, 2021","Sep 13, 2016"
"Zakkaartjes App
            17+",6.8 MB,"17+

              Infrequent/Mild Alcohol, Tobacco, or Drug Use or References
Frequent/Intense Medical/Treatment Information",English,Free,N/A,N/A,N/A,N/A,https://apps.apple.com/us/app/zakkaartjes-app/id1164017587,6,"May 24, 2019","Oct 27, 2016"
"Zalf smeerwijzer
            17+",44.8 MB,"17+

              Frequent/Intense Medical/Treatment Information",English,Free,N/A,N/A,N/A,N/A,https://apps.apple.com/us/app/zalf-smeerwijzer/id1475771074,4,"Nov 27, 2019","Sep 13, 2019"
"Zambia Ending AIDS
            17+",23.4 MB,"17+

              Infrequent/Mild Alcohol, Tobacco, or Drug Use or References
Frequent/Intense Medical/Treatment Information",English,Free,N/A,N/A,N/A,N/A,https://apps.apple.com/us/app/zambia-ending-aids/id1500360389,1,N/A,N/A
"Zamplo
            12+",75.2 MB,"12+

              Infrequent/Mild Medical/Treatment Information",English,Free,True,N/A,N/A,"Health & Fitness,Contact Info,User Content,Identifiers,Usage Data,Diagnostics",https://apps.apple.com/us/app/zamplo/id1503568766,25,"Jun 14, 2022","Feb 18, 2021"
"Zanno
            12+",981 KB,"12+

              Infrequent/Mild Medical/Treatment Information",English,Free,N/A,N/A,N/A,N/A,https://apps.apple.com/us/app/zanno/id1258754321,2,"Dec 16, 2021","Apr 7, 2021"
"ZAP
            4+",38.1 MB,4+,"English, Indonesian",Free,N/A,N/A,N/A,N/A,https://apps.apple.com/us/app/zap/id1211524070,22,"Nov 21, 2021","Jun 20, 2017"
"Zap Icon
            12+",51.4 MB,"12+

              Infrequent/Mild Medical/Treatment Information","English, Catalan, French, German, Italian, Polish, Portuguese, Simplified Chinese, Spanish",Free,N/A,N/A,N/A,"Contact Info,User Content",https://apps.apple.com/us/app/zap-icon/id1525971514,8,"Sep 14, 2021","Aug 4, 2020"
"ZapNURSE
            4+",43.2 MB,4+,English,Free,N/A,N/A,N/A,N/A,https://apps.apple.com/us/app/zapnurse/id1586873730,2,"Dec 2, 2021","Oct 30, 2021"
"ZAR Therapy
            17+",50 MB,"17+

              Frequent/Intense Medical/Treatment Information","English, German, Simplified Chinese, Traditional Chinese",Free,N/A,5.0,2 Ratings,"User Content,Identifiers,Diagnostics",https://apps.apple.com/us/app/zar-therapy/id1464123311,25,"Jun 2, 2022","Mar 6, 2020"
