App Name,Size,Age Rating,Languages,Price,InApp Purchase,Average Rating,Rating Count,Privacy Data,App Link,Number of Versions,Last Version Date,First Version Date
"Paramedic Review Plus
            17+",11.3 MB,"17+

              Frequent/Intense Medical/Treatment Information",English,$11.99,N/A,2.6,8 Ratings,N/A,https://apps.apple.com/us/app/paramedic-review-plus/id420015381,12,"Apr 6, 2021","Feb 18, 2011"
"Pillboxie
            4+",70.7 MB,4+,"English, German, Italian, Spanish",$1.99,N/A,3.8,76 Ratings,N/A,https://apps.apple.com/us/app/pillboxie/id417367089,25,"Sep 20, 2017","Feb 17, 2011"
"Huckleberry: Baby & Child
            4+",58.6 MB,4+,English,Free,True,4.9,12.8K Ratings,"Health & Fitness,Contact Info,User Content,Identifiers,Usage Data,Diagnostics",https://apps.apple.com/us/app/huckleberry-baby-child/id1169136078,25,"May 19, 2022","May 29, 2021"
"Delta Dental Mobile App
            12+",25.4 MB,"12+

              Infrequent/Mild Medical/Treatment Information",English,Free,N/A,1.5,437 Ratings,N/A,https://apps.apple.com/us/app/delta-dental-mobile-app/id1585628503,12,"Jun 6, 2022","Nov 18, 2021"
"Labcorp | Patient
            17+",684.6 MB,"17+

              Frequent/Intense Medical/Treatment Information",English,Free,N/A,1.9,105 Ratings,"Usage Data,Other Data",https://apps.apple.com/us/app/labcorp-patient/id1361264072,17,"Apr 26, 2022","Apr 19, 2018"
"Volume Boost – Sound Amplifier
            4+",27.2 MB,4+,"English, Russian, Simplified Chinese, Spanish",Free,True,4.1,1.7K Ratings,"Usage Data,Diagnostics",https://apps.apple.com/us/app/volume-boost-sound-amplifier/id1500458684,25,"Jun 9, 2022","Apr 10, 2021"
"DairyBar
            4+",82.7 MB,4+,English,$1.99,N/A,4.9,348 Ratings,"Contact Info,User Content,Identifiers,Diagnostics,Diagnostics",https://apps.apple.com/us/app/dairybar/id1439107604,16,"Apr 10, 2022","Nov 18, 2018"
"Body Temperature App For Fever
            12+",164.3 MB,"12+

              Infrequent/Mild Medical/Treatment Information","English, French, German, Italian, Japanese, Portuguese, Russian",Free,True,4.8,10.4K Ratings,"Health & Fitness,Purchases,User Content,Usage Data,Diagnostics",https://apps.apple.com/us/app/body-temperature-app-for-fever/id1516844582,25,"May 5, 2022","Jan 28, 2021"
"Wise Drug دەرمانی زیرەک
            12+",168 MB,"12+

              Infrequent/Mild Medical/Treatment Information",English,Free,N/A,4.4,62 Ratings,N/A,https://apps.apple.com/us/app/wise-drug-%D8%AF%DB%95%D8%B1%D9%85%D8%A7%D9%86%DB%8C-%D8%B2%DB%8C%D8%B1%DB%95%DA%A9/id1579035001,11,"Jun 8, 2022","Aug 12, 2021"
"Squeezy NHS Pelvic Floor App
            12+",12.5 MB,"12+

              Infrequent/Mild Sexual Content and Nudity
Infrequent/Mild Medical/Treatment Information","English, Arabic",$2.99,N/A,4.1,20 Ratings,N/A,https://apps.apple.com/us/app/squeezy-nhs-pelvic-floor-app/id700740791,25,"Mar 13, 2019","Oct 25, 2013"
